Anaa Airport,,AAA
Arrabury Airport,,AAB
El Arish International Airport,El Arish,AAC
Adado Airport,Adado,AAD
Rabah Bitat Airport,Annaba,AAE
Apalachicola Regional Airport,Apalachicola,AAF
Arapoti Airport,Arapoti,AAG
Aachen-Merzbrück Airport,Aachen,AAH
Arraias Airport,Arraias,AAI
Cayana Airstrip,Awaradam,AAJ
Buariki Airport,Buariki,AAK
Aalborg Airport,Aalborg,AAL
Malamala Airport,Malamala,AAM
Al Ain International Airport,Al Ain,AAN
Anaco Airport,Anaco,AAO
Andrau Airpark,Houston,AAP
Anapa Vityazevo Airport,Anapa,AAQ
Aarhus Airport,Aarhus,AAR
Apalapsili Airport,Apalapsili,AAS
Altay Air Base,Altay,AAT
Asau Airport,Asau,AAU
Allah Valley Airport,Surallah,AAV
Romeu Zema Airport,Araxá,AAX
Al Ghaidah International Airport,,AAY
Quezaltenango Airport,Quezaltenango,AAZ
Abakan Airport,Abakan,ABA
Asaba International Airport,Asaba,ABB
Albacete-Los Llanos Airport,Albacete,ABC
Abadan Airport,Abadan,ABD
Lehigh Valley International Airport,Allentown,ABE
Abaiang Airport,Abaiang,ABF
Abingdon Downs Airport,,ABG
Alpha Airport,Alpha,ABH
Abilene Regional Airport,Abilene,ABI
Port Bouet Airport,Abidjan,ABJ
Kabri Dehar Airport,Kabri Dehar,ABK
Ambler Airport,Ambler,ABL
Northern Peninsula Airport,Bamaga,ABM
Albina Airport,Albina,ABN
Aboisso Airport,Aboisso,ABO
Atkamba Airport,Atkamba Mission,ABP
Albuquerque International Sunport Airport,Albuquerque,ABQ
Aberdeen Regional Airport,Aberdeen,ABR
Abu Simbel Airport,Abu Simbel,ABS
Al Baha Airport,,ABT
Haliwen Airport,Atambua-Timor Island,ABU
Nnamdi Azikiwe International Airport,Abuja,ABV
Abau Airport,Abau,ABW
Albury Airport,Albury,ABX
Southwest Georgia Regional Airport,Albany,ABY
Aberdeen Dyce Airport,Aberdeen,ABZ
General Juan N Alvarez International Airport,Acapulco,ACA
Antrim County Airport,Bellaire,ACB
Kotoka International Airport,Accra,ACC
Alcides Fernández Airport,Acandí,ACD
Lanzarote Airport,Lanzarote Island,ACE
Brisbane Archerfield Airport,Brisbane,ACF
St Gallen Altenrhein Airport,Altenrhein,ACH
Alderney Airport,Saint Anne,ACI
Anuradhapura Air Force Base,Anuradhapura,ACJ
Nantucket Memorial Airport,Nantucket,ACK
Aguaclara Airport,Aguaclara,ACL
Arica Airport,Arica,ACM
Ciudad Acuña New International Airport,Ciudad Acuña,ACN
Ascona Airport,Ascona,ACO
Sahand Airport,Maragheh,ACP
